Domain,Volume ID in Gutenberg,Volume ID in HathiTrust,Pubdate in HathiTrust,Volume Title in HathiTrust,Volume Title in Gutenberg,Author
Fiction,49108,njp.32101071989857,1922,The amethyst ring / by Anatole France ; a translation by B. Drillien.,The Amethyst Ring,"France, Anatole"
Fiction,49207,umn.31951002082520d,1890,"Anno domini 2000, or, Woman's destiny.","Anno Domini 2000; or, Woman's Destiny","Vogel, Julius, Sir"
Fiction,49294,uc1.31175013964096,1908,Lay down your arms : the autobiography of Martha von Tilling / by Bertha von Suttner ; authorized translation by T. Holmes ; revised by the authoress.,Lay Down Your Arms: The Autobiography of Martha von Tilling,"Suttner, Bertha von"
Fiction,49320,uc2.ark+=13960=t55d8pq12,1894,"Cadet days; a story of West Point, by Captain Charles King.",Cadet Days: A Story of West Point,"King, Charles"
Fiction,49331,uc2.ark+=13960=t04x5631j,1920,"The young physician, by Francis Brett Young.",The Young Physician,"Young, Francis Brett"
Fiction,49414,uc2.ark+=13960=t6n012d98,1922,"Monsieur Bergeret in Paris, by Anatole France.",Monsieur Bergeret in Paris,"France, Anatole"
Fiction,49468,nyp.33433074863527,1845,Arabella Stuart: a romance from English history. By G.P.R. James.,Arabella Stuart: A Romance from English History,"James, G. P. R. (George Payne Rainsford)"
Fiction,49484,nyp.33433076080591,1892,"My friend Pasquale, and other stories, by James Selwin Tait ...","My Friend Pasquale, and Other Stories","Tait, James Selwin"
Fiction,49520,hvd.hnp161,1890,Kit and Kitty : a story of West Middlesex / by R.D. Blackmore.,Kit and Kitty: A Story of West Middlesex,"Blackmore, R. D. (Richard Doddridge)"
Fiction,49533,wu.89090339128,1899,The Capsina: an historical novel. By E. F. Benson ... With illustrations by G. P. Jacomb-Hood.,The Capsina: An Historical Novel,"Benson, E. F. (Edward Frederic)"
Fiction,49553,uva.x030788103,1920,Love of the wild / by Archie P. McKishnie.,Love of the Wild,"McKishnie, Archie P."
Fiction,49648,nc01.ark+=13960=t6d22qq35,1899,"Red Rock; a chronicle of reconstruction, by Thomas Nelson Page; illustrated by B. West Clinedinst.",Red Rock: A Chronicle of Reconstruction,"Page, Thomas Nelson"
Fiction,49650,uva.x030577034,1903,Arrah Neil : or Times of old / by G. P. R. James ; introduction is by Laurie Magnus ; title-page is designed by Ivor I. J. Symes.,"Arrah Neil; or, Times of Old","James, G. P. R. (George Payne Rainsford)"
Fiction,49663,nyp.33433075753685,1856,Adonijah : a tale of the Jewish dispersion / by Jane Margaret Strickland.,Adonijah: A Tale of the Jewish Dispersion.,"Strickland, Jane Margaret"
Fiction,49681,uiug.30112003542021,1878,The Constable de Bourbon / by William Harrison Ainsworth ...,The Constable De Bourbon,"Ainsworth, William Harrison"
Fiction,49714,uc2.ark+=13960=t8hd7qx45,1900,At bay / by Mrs. Alexander.,At Bay,"Alexander, Mrs."
Fiction,49731,mdp.39015071587102,1907,Tamawaca folks : a summer comedy / by John Estes Cooke,Tamawaca Folks: A Summer Comedy,"Baum, L. Frank (Lyman Frank)"
Fiction,49749,uc2.ark+=13960=t2z31pt5w,1896,"Isla Heron, by Laura E. Richards ... Illustrated by Frank T. Merrill.",Isla Heron,"Richards, Laura Elizabeth Howe"
Fiction,49772,uc2.ark+=13960=t3zs2md95,1913,"Hagar, by Mary Johnston.",Hagar,"Johnston, Mary"
Fiction,49786,hvd.hwiql7,1875,A princess of Thule : a novel.,A Princess of Thule,"Black, William"
Fiction,49795,coo1.ark+=13960=t5v70079t,1895,"The master; a novel, by I. Zangwill.",The Master; a Novel,"Zangwill, Israel"
Fiction,49848,dul1.ark+=13960=t9g45ch9h,1908,The man who ended war; illustrated from drawings by Charles Grunwald.,The Man Who Ended War,"Godfrey, Hollis"
Fiction,49859,hvd.32044086829132,1850,"The robber : a tale / by G. P. R. James, esq.","The Robber, A Tale.","James, G. P. R. (George Payne Rainsford)"
Fiction,49860,uc1.aa0014831390,1896,"The smuggler of King's cove; or, The old chapel mystery, by Sylvanus Cobb, Jr.","The Smuggler of King's Cove; or, The Old Chapel Mystery","Cobb, Sylvanus"
Fiction,49861,osu.32435011875986,1912,"A bachelor's comedy, by J.E. Buckrose [pseud.] ..",A Bachelor's Comedy,"Buckrose, J. E."
Fiction,49903,hvd.hnp66q,1895,"My Lady Nobody; a novel, by Maarten Maartens [pseud.] ...",My Lady Nobody: A Novel,"Maartens, Maarten"
Fiction,49915,uc1.b3322726,1897,By far Euphrates : a tale / by D. Alcock.,By Far Euphrates: A Tale,"Alcock, Deborah"
Fiction,49953,uc2.ark+=13960=t04x56s1h,1862,The queen's Maries : a romance of Holyrood / by G.J. Whyte Melville.,The Queen's Maries: A Romance of Holyrood,"Whyte-Melville, G. J. (George John)"
